['20231206105035', 'Kevin', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206112306', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231206112302', 'Kevin', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231206112306', 'Kevin', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231206112430', 'Alice', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206112433', 'Alice', 'Sales_dept', 'POST', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206145600', 'Alice', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231206150200', 'Kevin', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231206150203', 'Alice', 'Sales_dept', 'POST', 'Mobius/server/DATA', 'HR_dept', 200]
['20231207113031', 'Bob', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231207113036', 'Kevin', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231207113142', 'Kevin', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231207113148', 'Kevin', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231207132737', 'Kevin', 'R&D_dept', 'POST', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231207132740', 'Alice', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231207132743', 'Alice', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231207132748', 'Bob', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231207132752', 'Steve', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231207132755', 'Kevin', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231207132759', 'Steve', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211095614', 'Bob', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211095616', 'Bob', 'Sales_dept', 'POST', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211095619', 'Alice', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211095837', 'Bob', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211095839', 'Sophia', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211095837', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211100041', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211100041', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211100041', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211100214', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211100214', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211100230', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211100230', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211100230', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211100230', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211100230', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211100230', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211100317', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211100413', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211100413', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211100413', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211100413', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211100928', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211101858', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211101858', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211102135', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211102135', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211102135', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211102447', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211102447', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211102447', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211102447', '12345', 'R&D_dept', 'POST', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211102447', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211102447', '12345', 'R&D_dept', 'POST', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211104240', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211104336', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211104421', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211104727', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211104727', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211104727', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211104727', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211104727', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211104727', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211104841', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211104841', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211104841', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211104841', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211104841', '12345', 'R&D_dept', 'POST', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211104841', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211125815', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211125815', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211130237', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211130237', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211130237', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211130414', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211130414', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211130414', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211130414', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211133703', 'Kevin', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211134528', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211134528', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211134528', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211134923', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211134923', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211134923', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211134923', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211134923', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211134923', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211134915', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211134915', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211135023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211135023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211135023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211135103', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211135155', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211135155', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211135236', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211135325', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211135325', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211135325', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211135325', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211135325', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211135325', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211135323', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211135323', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211135323', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211135426', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211135426', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211135426', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211135457', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211135457', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211135457', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211135457', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211145427', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211145840', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211145840', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211145840', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211145840', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211145840', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211145840', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211150113', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211150113', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211150113', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211150113', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211150113', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211150113', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211150138', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211150138', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211150138', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211150138', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211150138', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211150138', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211150239', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211150239', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211150239', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211150239', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211150239', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211150239', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211150549', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211150549', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211150549', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211150549', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211150549', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211150549', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211150543', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211150543', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211150543', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211150543', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211150543', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211150543', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211150543', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211150543', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211150543', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211150543', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211151732', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211151732', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211151732', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211151732', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211151732', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211151732', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211151922', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211151922', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211151922', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211151952', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211151952', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211151952', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211151952', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211151952', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211151952', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211152023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211152023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211152306', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211152306', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211152306', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211152306', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231211152306', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211152306', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211152023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211152023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231211152023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231211152023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211152023', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231211152023', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211152023', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231211152023', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231211152023', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231212095506', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212095506', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212095527', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231212095527', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231212095527', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231212095527', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212095527', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231212095527', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231212095506', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212095506', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212095623', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231212100414', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231212100414', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231212100414', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231212100414', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231212100414', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231212100414', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231212100507', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231212100938', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231212100947', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231212100947', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231212100947', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231212100947', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212100947', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231212100947', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231212100938', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231212100938', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231212101108', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231212101312', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231212101312', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231212101312', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231212101402', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231212101630', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212101630', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212101713', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231212101713', 'Admin', 'R&D_dept', 'UPDATE', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231212101750', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231212101750', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231212101750', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231212101750', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231212101750', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
